service_a_rq_time_50_quantile,service_a_rq_time_90_quantile,service_a_rq_time_99_quantile,service_b_rq_time_50_quantile,service_b_rq_time_90_quantile,service_b_rq_time_99_quantile,service_c_rq_time_50_quantile,service_c_rq_time_90_quantile,service_c_rq_time_99_quantile,pending_rate,complete_rate,active_rate,r1_service_a,r1_service_b,r2_service_b,r1_service_c,r2_service_d,new_limit,mean_latency
0.568,0.943,1.7109999999999999,0.01,0.075,0.667,0.002,0.009000000000000001,0.027000000000000003,0.11258278145695363,0.9735099337748344,0.026490066225165563,122,27,73,105,220,205,0.00213
0.828,3.3480000000000003,3.9730000000000003,0.019,0.22,0.516,0.002,0.03,0.139,0.1916058394160584,0.8594890510948905,0.14233576642335766,53,164,31,64,220,209,0.00213
1.9680000000000002,3.51,4.463,0.019,0.156,0.41200000000000003,0.003,0.03,0.102,0.14211076280041798,0.9613375130616508,0.04075235109717868,129,79,102,134,220,203,0.00213
1.9680000000000002,3.51,4.463,0.019,0.156,0.41200000000000003,0.003,0.03,0.102,0.14211076280041798,0.9613375130616508,0.04075235109717868,190,60,145,188,220,208,0.00213
1.9680000000000002,3.2489999999999997,4.4,0.032,0.156,0.371,0.003,0.03,0.109,0.0990531682447196,0.97523670793882,0.025491624180626362,190,60,145,188,220,209,0.00213
1.9680000000000002,3.2489999999999997,4.3839999999999995,0.043,0.233,0.5539999999999999,0.003,0.027000000000000003,0.102,0.07687959299039004,0.9864330130016958,0.014132278123233463,165,28,92,48,220,206,0.00213
1.9680000000000002,3.2489999999999997,4.4,0.032,0.207,0.575,0.003,0.024,0.09300000000000001,0.06330275229357799,0.9922018348623852,0.008256880733944955,25,140,110,45,220,204,0.00213
1.9680000000000002,3.1630000000000003,4.3839999999999995,0.032,0.233,0.5539999999999999,0.004,0.024,0.102,0.05336426914153132,0.9748646558391338,0.025522041763341063,176,178,185,197,220,209,0.00213
1.9680000000000002,3.1630000000000003,4.3839999999999995,0.032,0.233,0.5539999999999999,0.004,0.024,0.102,0.05336426914153132,0.9748646558391338,0.025522041763341063,183,161,184,41,220,199,0.00213
1.766,3.0039999999999996,4.221,0.032,0.207,0.532,0.004,0.024,0.102,0.04621567314132618,0.9969859343603484,0.003348961821835231,53,150,81,38,220,198,0.00213
1.8530000000000002,3.0039999999999996,4.221,0.043,0.233,0.575,0.004,0.024,0.09300000000000001,0.040937407297537816,0.9718184514980718,0.028774844259863538,169,112,124,165,220,202,0.00213
1.8530000000000002,3.0039999999999996,4.221,0.043,0.233,0.575,0.004,0.024,0.091,0.03631578947368421,0.9871052631578948,0.013157894736842105,169,112,124,165,220,207,0.00213
1.8530000000000002,2.9410000000000003,4.112,0.043,0.207,0.5539999999999999,0.004,0.027000000000000003,0.111,0.032825880114176975,0.9992863939105614,0.0007136060894386299,91,100,128,41,220,204,0.00213
1.8530000000000002,2.9410000000000003,4.095,0.043,0.207,0.535,0.004,0.027000000000000003,0.107,0.029980447534216813,0.9941342602650446,0.005865739734955464,116,29,162,149,220,203,0.00213
1.8530000000000002,2.9410000000000003,4.095,0.032,0.207,0.516,0.004,0.024,0.107,0.02757242757242757,0.9970029970029971,0.003596403596403597,113,66,86,145,220,206,0.00213
1.8530000000000002,2.9410000000000003,4.095,0.032,0.207,0.516,0.004,0.024,0.107,0.02757242757242757,0.9970029970029971,0.003596403596403597,104,152,193,45,220,198,0.00213
1.8530000000000002,2.9410000000000003,3.988,0.032,0.185,0.516,0.004,0.024,0.102,0.025508317929759702,0.9996303142329019,0.00055452865064695,104,152,193,45,220,204,0.00213
1.692,2.8489999999999998,3.988,0.032,0.17300000000000001,0.494,0.003,0.024,0.102,0.023756240316749867,0.996040626613875,0.00430366672404889,170,186,197,40,220,201,0.00213
1.692,2.806,3.988,0.032,0.17300000000000001,0.494,0.003,0.024,0.09300000000000001,0.0222007722007722,0.9985521235521236,0.0016087516087516086,59,138,65,193,220,200,0.00213
1.692,2.806,3.884,0.032,0.17300000000000001,0.494,0.004,0.024,0.09300000000000001,0.020858524788391782,0.9983373639661428,0.001813784764207981,39,180,159,160,220,208,0.00213
1.692,2.806,3.884,0.032,0.17300000000000001,0.48,0.003,0.024,0.09300000000000001,0.019666524155622058,0.9955821576172154,0.0045603534273906225,102,52,147,199,220,206,0.00213
1.692,2.806,3.884,0.032,0.17300000000000001,0.48,0.003,0.024,0.09300000000000001,0.019666524155622058,0.9955821576172154,0.0045603534273906225,181,60,139,178,220,209,0.00213
1.692,2.806,3.884,0.032,0.17300000000000001,0.455,0.003,0.02,0.09300000000000001,0.018593371059013743,0.9987873888439772,0.0013473457289140394,181,60,139,178,220,203,0.00213
1.692,2.758,3.8760000000000003,0.032,0.17300000000000001,0.455,0.003,0.02,0.09300000000000001,0.017651573292402148,0.9966743412637504,0.0034535686876438986,53,94,136,70,220,204,0.00213
1.692,2.758,3.804,0.032,0.17300000000000001,0.455,0.003,0.02,0.09300000000000001,0.016778115501519756,0.9970820668693008,0.00303951367781155,174,132,86,188,220,202,0.00213
